method	strategy	preprocessing_method	external_reference_strategy	evaluation_type	threshold_type	threshold	train_dataset	test_dataset	n_samples	n_positive	n_negative	roc_auc	average_precision	balanced_accuracy	brier_score	predicted_positive_rate	median_score_negative	median_score_positive	method_label	dataset_label	balanced_accuracy_pct	roc_auc_pct	predicted_positive_rate_pct	observed_positive_rate_pct
standard_zscore_train_only	standard_zscore_train_only	standard_zscore	training_only	external	default_0_5	0.5	GSE65682	GSE95233	73	51	22	1.0	1.0	0.5	0.6986171750623281	0.0	3.675881327457433e-13	1.517035761516997e-06	"Standard z-score
(train ref)"	"GSE95233
external microarray"	50.0	100.0	0.0	69.86301369863014
standard_zscore_train_only	standard_zscore_train_only	standard_zscore	training_only	external	default_0_5	0.5	GSE65682	GSE154918	79	39	40	0.9987179487179488	0.9987015121630508	0.5	0.4936708860759494	0.0	1.4027920541007368e-44	1.4925337497041455e-38	"Standard z-score
(train ref)"	"GSE154918
RNA-seq transfer"	50.0	99.87179487179489	0.0	49.36708860759494
standard_zscore_train_only	standard_zscore_train_only	standard_zscore	training_only	external	default_0_5	0.5	GSE65682	GSE28750	30	10	20	1.0	1.0	0.5	0.3333313297146841	0.0	1.2442507217789588e-14	6.9029521821285e-07	"Standard z-score
(train ref)"	"GSE28750
stress test"	50.0	100.0	0.0	33.33333333333333
robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	external	default_0_5	0.5	GSE65682	GSE95233	73	51	22	1.0	1.0	0.5686274509803921	0.4931540453750885	0.0958904109589041	5.791564341126426e-08	0.0940315760233391	"Robust scale
(train ref)"	"GSE95233
external microarray"	56.86274509803921	100.0	9.58904109589041	69.86301369863014
robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	external	default_0_5	0.5	GSE65682	GSE154918	79	39	40	0.9987179487179488	0.9987015121630508	0.5	0.4936708860759494	0.0	8.763963693389875e-28	2.6323162036039673e-22	"Robust scale
(train ref)"	"GSE154918
RNA-seq transfer"	50.0	99.87179487179489	0.0	49.36708860759494
robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	external	default_0_5	0.5	GSE65682	GSE28750	30	10	20	1.0	1.0	0.55	0.2603317113697636	0.0333333333333333	4.167642355826676e-09	0.0558529652582732	"Robust scale
(train ref)"	"GSE28750
stress test"	55.00000000000001	100.0	3.33333333333333	33.33333333333333
sample_rank_zscore	sample_rank_zscore	sample_rank_zscore	sample_wise_rank_then_training_only	external	default_0_5	0.5	GSE65682	GSE95233	73	51	22	1.0	1.0	1.0	0.0013884296112612	0.6986301369863014	0.0030071397949333	0.9999967279520052	Sample rank + z-score	"GSE95233
external microarray"	100.0	100.0	69.86301369863014	69.86301369863014
sample_rank_zscore	sample_rank_zscore	sample_rank_zscore	sample_wise_rank_then_training_only	external	default_0_5	0.5	GSE65682	GSE154918	79	39	40	0.9878205128205128	0.990934065934066	0.9743589743589745	0.0282226042618429	0.4683544303797468	0.0124853581057912	0.9970733700286089	Sample rank + z-score	"GSE154918
RNA-seq transfer"	97.43589743589745	98.78205128205127	46.83544303797468	49.36708860759494
sample_rank_zscore	sample_rank_zscore	sample_rank_zscore	sample_wise_rank_then_training_only	external	default_0_5	0.5	GSE65682	GSE28750	30	10	20	1.0	1.0	0.95	0.0165037461948967	0.3	0.0019050181606559	0.9999988397664684	Sample rank + z-score	"GSE28750
stress test"	95.0	100.0	30.0	33.33333333333333
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	default_0_5	0.5	GSE65682	GSE95233	73	51	22	1.0	1.0	0.96078431372549	0.0430812413434759	0.6438356164383562	9.087839542795568e-06	0.9887360203280756	"Robust scale
(external ref)"	"GSE95233
external microarray"	96.078431372549	100.0	64.38356164383562	69.86301369863014
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	default_0_5	0.5	GSE65682	GSE154918	79	39	40	0.9923076923076924	0.9930846336631168	0.9490384615384616	0.0302192024687823	0.4683544303797468	0.0086084683317024	0.9999161707825946	"Robust scale
(external ref)"	"GSE154918
RNA-seq transfer"	94.90384615384616	99.23076923076924	46.83544303797468	49.36708860759494
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	default_0_5	0.5	GSE65682	GSE28750	30	10	20	1.0	1.0	1.0	0.0046559068063412	0.3333333333333333	0.0145562401572888	0.9999999994789736	"Robust scale
(external ref)"	"GSE28750
stress test"	100.0	100.0	33.33333333333333	33.33333333333333
