method	strategy	preprocessing_method	external_reference_strategy	calibration_method	evaluation_type	dataset_id	bin	n	mean_predicted	observed_fraction	bin_min	bin_max
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(-0.001, 0.1]	36	0.00012730276352821665	0.027777777777777776	-0.001	0.1
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(0.1, 0.2]	1	0.1316254817364189	0.0	0.1	0.2
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(0.2, 0.3]	1	0.2022682023608923	0.0	0.2	0.3
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(0.3, 0.4]	1	0.3689074645621621	1.0	0.3	0.4
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(0.4, 0.5]	1	0.4327552072478032	0.0	0.4	0.5
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(0.6, 0.7]	1	0.6167274782458658	0.0	0.6	0.7
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(0.8, 0.9]	2	0.8376461729973048	0.5	0.8	0.9
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	(0.9, 1.0]	36	1.0	1.0	0.9	1.0
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE28750	(-0.001, 0.1]	15	0.00443410686523538	0.0	-0.001	0.1
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE28750	(0.2, 0.3]	2	0.25755016360200395	0.0	0.2	0.3
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE28750	(0.3, 0.4]	1	0.3822406846346683	0.0	0.3	0.4
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE28750	(0.5, 0.6]	2	0.5288824215650472	0.0	0.5	0.6
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE28750	(0.9, 1.0]	10	1.0	1.0	0.9	1.0
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE95233	(-0.001, 0.1]	23	0.0	0.043478260869565216	-0.001	0.1
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE95233	(0.1, 0.2]	1	0.1496876035243035	1.0	0.1	0.2
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE95233	(0.6, 0.7]	2	0.6675495883405795	1.0	0.6	0.7
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE95233	(0.9, 1.0]	47	1.0	1.0	0.9	1.0
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	none	external	GSE154918	(-0.001, 0.1]	38	0.013155362698080528	0.02631578947368421	-0.001	0.1
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	none	external	GSE154918	(0.1, 0.2]	2	0.14848514376464444	0.5	0.1	0.2
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	none	external	GSE154918	(0.2, 0.3]	1	0.286000040943903	0.0	0.2	0.3
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	none	external	GSE154918	(0.4, 0.5]	1	0.4664870023076018	1.0	0.4	0.5
