task_id	dataset_id	method	strategy	preprocessing_method	external_reference_strategy	n_samples	n_positive	n_negative	ci_lower_average_precision	ci_lower_balanced_accuracy	ci_lower_brier_score	ci_lower_predicted_positive_rate	ci_lower_roc_auc	ci_upper_average_precision	ci_upper_balanced_accuracy	ci_upper_brier_score	ci_upper_predicted_positive_rate	ci_upper_roc_auc	estimate_average_precision	estimate_balanced_accuracy	estimate_brier_score	estimate_predicted_positive_rate	estimate_roc_auc
task_a	GSE154918	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	79	39	40	0.9794391308114133	0.898076923076923	0.0047174752778910605	0.4177215189873418	0.9762660256410256	1.0	0.9875	0.06566756745386132	0.5189873417721519	1.0	0.9930846336631168	0.9490384615384615	0.030219202468782347	0.46835443037974683	0.9923076923076923
task_a	GSE154918	robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	79	39	40	0.9936207595963694	0.5	0.4936708860759494	0.0	0.9935897435897436	1.0000000000000002	0.5	0.4936708860759494	0.0	1.0	0.9987015121630508	0.5	0.4936708860759494	0.0	0.9987179487179487
task_a	GSE154918	sample_rank_zscore	sample_rank_zscore	sample_rank_zscore	sample_wise_rank_then_training_only	79	39	40	0.9729075955491052	0.9358974358974359	0.005265690139764702	0.43037974683544306	0.9615384615384617	1.0	1.0	0.06129219848340824	0.4936708860759494	1.0	0.9909340659340661	0.9743589743589743	0.028222604261842983	0.46835443037974683	0.9878205128205128
task_a	GSE154918	standard_zscore_train_only	standard_zscore_train_only	standard_zscore	training_only	79	39	40	0.9936207595963694	0.5	0.4936708860759494	0.0	0.9935897435897436	1.0000000000000002	0.5	0.4936708860759494	0.0	1.0	0.9987015121630508	0.5	0.4936708860759494	0.0	0.9987179487179487
task_a	GSE28750	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	30	10	20	0.9999999999999999	1.0	0.0008512755650359465	0.3333333333333333	1.0	1.0	1.0	0.009367274506078277	0.3333333333333333	1.0	0.9999999999999999	1.0	0.004655906806341268	0.3333333333333333	1.0
task_a	GSE28750	robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	30	10	20	0.9999999999999999	0.5	0.1997883536454156	0.0	1.0	1.0	0.65	0.31088815137302767	0.1	1.0	0.9999999999999999	0.55	0.2603317113697636	0.03333333333333333	1.0
task_a	GSE28750	sample_rank_zscore	sample_rank_zscore	sample_rank_zscore	sample_wise_rank_then_training_only	30	10	20	0.9999999999999999	0.85	6.915652995077982e-06	0.23333333333333334	1.0	1.0	1.0	0.04604236864773208	0.3333333333333333	1.0	0.9999999999999999	0.95	0.016503746194896755	0.3	1.0
task_a	GSE28750	standard_zscore_train_only	standard_zscore_train_only	standard_zscore	training_only	30	10	20	0.9999999999999999	0.5	0.3333289424394694	0.0	1.0	1.0	0.5	0.3333330268201453	0.0	1.0	0.9999999999999999	0.5	0.33333132971468415	0.0	1.0
task_a	GSE95233	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	73	51	22	0.9999999999999999	0.9215686274509804	0.010288123769581508	0.589041095890411	0.9999999999999999	1.0000000000000002	0.9901960784313726	0.08410055372088356	0.684931506849315	1.0	1.0	0.9607843137254901	0.04308124134347594	0.6438356164383562	1.0
task_a	GSE95233	robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	73	51	22	0.9999999999999999	0.5294117647058824	0.4319149644757537	0.0410958904109589	0.9999999999999999	1.0000000000000002	0.6176470588235294	0.5480442188787881	0.1643835616438356	1.0	1.0	0.5686274509803921	0.49315404537508856	0.0958904109589041	1.0
task_a	GSE95233	sample_rank_zscore	sample_rank_zscore	sample_rank_zscore	sample_wise_rank_then_training_only	73	51	22	0.9999999999999999	1.0	9.159673046658812e-05	0.6986301369863014	0.9999999999999999	1.0000000000000002	1.0	0.0033768546023133974	0.6986301369863014	1.0	1.0	1.0	0.0013884296112612166	0.6986301369863014	1.0
task_a	GSE95233	standard_zscore_train_only	standard_zscore_train_only	standard_zscore	training_only	73	51	22	0.9999999999999999	0.5	0.6986102612435079	0.0	0.9999999999999999	1.0000000000000002	0.5	0.6986226818558606	0.0	1.0	1.0	0.5	0.6986171750623281	0.0	1.0
task_b	GSE28750	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	21	10	11	0.7206349206349206	0.6136363636363636	0.036678238563226606	0.23809523809523808	0.5363636363636364	1.0	0.95	0.3050733655470433	0.5238095238095238	1.0	0.8773684210526315	0.8045454545454545	0.15848203205639702	0.38095238095238093	0.8000000000000002
task_b	GSE28750	robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	21	10	11	0.7533295739348369	0.5	0.47619047619047616	0.0	0.6	1.0	0.5	0.47619047619047616	0.0	1.0	0.8944616443068455	0.5	0.47619047619047616	0.0	0.8363636363636364
task_b	GSE28750	sample_rank_zscore	sample_rank_zscore	sample_rank_zscore	sample_wise_rank_then_training_only	21	10	11	0.7243268403852768	0.55	0.13642594892112425	0.047619047619047616	0.5636363636363636	1.0	0.85	0.4108645507734642	0.3333333333333333	1.0	0.88	0.7	0.27387834282331613	0.19047619047619047	0.8090909090909092
task_b	GSE28750	standard_zscore_train_only	standard_zscore_train_only	standard_zscore	training_only	21	10	11	0.7821745852187028	0.5	0.4761904735858788	0.0	0.6727272727272727	1.0	0.5	0.47619047618170773	0.0	1.0	0.9087301587301587	0.5	0.4761904752880032	0.0	0.8727272727272727
